Time(ms),Pressure(hPa)
1678229042122000,1021.9176575486629
1678229102190000,1021.8042583885168
1678229162259000,1021.85177559039
1678229222287000,1021.7743353938235
1678229282355000,618.4905776757158
1678229342424000,416.79469615885733
1678229402492000,355.00178574441816
1678229462527000,324.9858114454233
1678229522595000,312.4295834877166
1678229582664000,312.5619895286121
1678229642732000,313.9189267042688
1678229702767000,314.89546941519944
1678229762835000,315.6796316709783
1678229822904000,316.3189306734787
1678229882972000,316.92111488856995
1678229943007000,317.3878108658874
1678230003075000,317.7744981492399
1678230063144000,318.1840450594395
1678230123212000,318.5004839389415
1678230183247000,318.8467173882667
1678230243316000,319.1486442574669
1678230303384000,319.3552798731807
1678230363453000,319.62330257671994
1678230423487000,319.8840050626733
1678230483556000,320.037344357367
1678230543624000,320.3071650090852
1678230603693000,320.4656412985761
1678230663727000,320.7032273079424
1678230723796000,320.9085786749569
1678230783864000,321.0259590060709
1678230843933000,321.1894438654889
1678230903967000,321.39787742938165
1678230963986000,321.56970990534495
1678231024055000,321.6917135317764
1678231084124000,321.8377326088842
1678231144192000,322.010592483807
1678231204261000,322.1334950843278
1678231264330000,322.29274192303825
1678231324399000,322.43195448203994
1678231384447000,322.6114924501989
1678231444516000,322.6867494239766
1678231504584000,322.8208249881812
1678231564653000,322.96543139171985
1678231624687000,323.0125633189833
1678231684756000,323.22639072741305
1678231744824000,323.31076586695553
1678231804893000,323.45370274718516
1678231864927000,323.55682791773717
1678231924996000,323.74317240400234
1678231985064000,323.77810396862264
1678232045133000,323.9851248589462
1678232105152000,324.0562722368862
1678232165221000,324.15092136602294
1678232225289000,324.2381218527039
1678232285358000,324.4283190850669
1678232345427000,324.4834133542659
1678232405496000,324.5803741310614
1678232465564000,324.7486107106667
1678232525633000,324.89026334219704
1678232585702000,324.98902206717145
1678232645771000,324.9945443365784
1678232705839000,325.1405634136862
1678232765908000,325.3122674647796
1678232825977000,325.3816168945406
1678232886046000,325.4799903449053
1678232946115000,325.51261026186694
1678233006183000,325.73876645780973
1678233066252000,325.78461413637393
1678233126321000,326.00075319246235
1678233186357000,326.07665229058966
1678233246426000,326.0885958034929
1678233306494000,326.23410118112105
1678233366563000,326.372800040643
1678233426632000,326.4448463926725
1678233486701000,326.60101103450467
1678233546769000,326.7051636040161
1678233606838000,326.8436056137982
1678233666907000,326.9013968052657
1678233726976000,326.9853866701984
1678233787044000,327.13692801671317
1678233847113000,327.1599160684303
1678233907182000,327.3164659848722
1678233967251000,327.4167658082858
1678234027319000,327.55623521702734
1678234087388000,327.69904367238695
1678234147457000,327.67438609736087
1678234207526000,327.85084186864157
1678234267594000,327.9456194226483
1678234327663000,328.07969498685287
1678234387732000,328.1044809867489
1678234447801000,328.26835112077674
1678234507869000,328.49630526489847
1678234567938000,328.5263566844616
1678234628007000,328.56873689153775
1678234688076000,328.70563780288074
1678234748144000,328.7779410046501
1678234808197000,328.8208349112059
1678234868266000,328.97122043389135
1678234928334000,329.0835921950781
1678234988403000,329.1165973866495
1678235048472000,329.3597056654228
1678235108541000,329.37563034929383
1678235168597000,329.47194900173963
1678235228666000,329.56505703243727
1678235288677000,329.66317363306206
1678235348746000,329.8026430418036
1678235408814000,329.8526003162055
1678235468883000,329.92862783920276
1678235528952000,330.12948433576975
1678235589021000,330.1749467397242
1678235649077000,330.33804632453246
1678235709146000,330.3994334123579
1678235769214000,330.48624862442904
1678235829283000,330.59502448925787
1678235889352000,330.6904441676142
1678235949421000,330.8690831616837
1678236009489000,330.88796161756306
1678236069558000,331.03128377240245
1678236129587000,331.1264466010189
1678236189656000,331.23946048655534
1678236249724000,331.300590724641
1678236309793000,331.3677569316132
1678236369862000,331.5614216354642
1678236429931000,331.6549149407716
1678236489999000,331.6287162673064
1678236550068000,331.77113944805626
1678236610137000,331.887107105601
1678236670206000,331.9175437997739
1678236730274000,332.0327409080991
1678236790343000,332.2151042233965
1678236850412000,332.19211617167946
1678236910481000,332.3995223366128
1678236970549000,332.48222795284624
1678237030618000,332.55761335149384
1678237090687000,332.7471684595072
1678237150756000,332.6210552372381
1678237210824000,332.8420744383838
1678237270893000,332.914634489893
1678237330962000,333.0913471109136
1678237391031000,333.1854825405706
1678237451099000,333.3071008923922
1678237511168000,333.3407482083133
1678237571237000,333.39995207335
1678237631306000,333.47752069478634
1678237691374000,333.67221279759684
1678237751443000,333.7514509423423
1678237811512000,333.8321017606569
1678237871550000,333.99288969780645
1678237931619000,334.0165198738731
1678237991688000,334.10834365587147
1678238051757000,334.2208438419282
1678238111797000,334.2758096862573
1678238171866000,334.42375513641406
1678238231934000,334.42889213121117
1678238292003000,334.62743698011946
1678238352072000,334.660313746821
1678238412141000,334.8306051243452
1678238472209000,334.9315470721084
1678238532278000,334.9663502118588
1678238592347000,335.08501479167205
1678238652416000,335.1315045945859
1678238712484000,335.280605868572
1678238772553000,335.38385946399393
1678238832622000,335.4968733495304
1678238892691000,335.559801535795
1678238952759000,335.74884294432866
