Time(ms),Pressure(hPa)
1679354339266,1024.5815746255744
1679354399334,1024.3893225952925
1679354459402,1024.4878244705271
1679354519471,1024.3854698491946
1679354579539,894.9638945059291
1679354639608,520.3783434964877
1679354699676,389.66404341252934
1679354759745,346.4366174694564
1679354819813,320.2428241492514
1679354879882,317.5267665751492
1679354939929,319.0699198122012
1679354999997,320.22651419077056
1679355060066,333.5775636684601
1679355120134,334.3231984632606
1679355180203,334.8706736837626
1679355240271,335.4180204793947
1679355300340,335.90269593850206
1679355360408,336.4461899880364
1679355420477,336.77585662914095
1679355480545,337.145463404793
1679355540614,337.50171399397266
1679355600683,337.794394272538
1679355660752,338.06845294496384
1679355720821,338.32774275734795
1679355780889,338.6586936471518
1679355840958,338.8086938952274
1679355901002,338.95561194642477
1679355961019,339.24739325090064
1679356021088,339.4134466077172
1679356081156,339.64538192280673
1679356141167,339.77509104143377
1679356201236,339.8694833208307
1679356261305,340.231513029157
1679356321327,340.32731798212313
1679356381396,340.5235511833727
1679356441465,340.6541592760893
1679356501534,340.8733805290559
1679356561567,341.00591499482135
1679356621636,341.0814288183389
1679356681705,341.2051019680793
1679356741774,341.32928881729947
1679356801807,341.50035074404326
1679356861876,341.5657190028365
1679356921945,341.69645552042294
1679356982014,341.83631020377425
1679357042047,341.9688446695397
1679357102097,342.0988106379066
1679357162157,342.2128519224024
1679357222226,342.2755232589272
1679357282295,342.39431626361034
1679357342317,342.5129808434236
1679357402386,342.5671761385331
1679357462455,342.72179968192614
1679357522524,342.80373474894003
1679357582592,342.92188562927356
1679357642661,343.0104987895237
1679357702730,343.12736542115795
1679357762799,343.1866977110646
1679357822867,343.20326451928526
1679357882936,343.43674093281396
1679357943005,343.5093009843231
1679358003018,343.6060049113787
1679358063087,343.6616128800574
1679358123156,343.77321409202466
1679358183166,343.87775193614584
1679358243234,343.93053455768614
1679358303303,344.087212898998
1679358363372,344.15206745831154
1679358423441,344.16054349972677
1679358483509,344.36306951960285
1679358543578,344.36538116726155
1679358603647,344.4655525658052
1679358663716,344.51859203708534
1679358723784,344.6533097256396
1679358783853,344.70506494822047
1679358843922,344.84890080253956
1679358903991,344.9463752788147
1679358964060,344.924543050927
1679359024128,345.1054936926552
1679359084197,345.16212906029335
1679359144266,345.28926968152183
1679359204335,345.3317783134679
1679359264403,345.4286106653934
1679359324472,345.4521124165902
1679359384541,345.5239019188798
1679359444609,345.69008370056633
1679359504678,345.74671906820447
1679359564747,345.75545195935956
1679359624816,345.8224897414619
1679359684884,345.9887999480183
1679359744953,346.0236030877687
1679359805022,346.1705211389661
1679359865091,346.2335777501006
1679359925160,346.28905729390937
1679359985228,346.35275602939356
1679360045297,346.41478524156867
1679360105366,346.4403417906843
1679360165435,346.6372171162835
1679360225503,346.7218491055659
1679360285572,346.7173542351185
1679360345641,346.8717209287716
1679360405710,346.92604464875103
1679360465778,346.97792829620187
1679360525847,347.0461219021335
1679360585916,347.20010332117687
1679360645985,347.2183396527066
1679360706048,347.2706085747672
1679360766116,347.3991618695649
1679360826185,347.49869114375895
1679360886254,347.59321184802576
1679360946322,347.65138831410303
1679361006391,347.7294706350191
1679361066460,347.802544386008
1679361126529,347.94342646831876
1679361186597,347.9641028723771
1679361246666,348.0289574316906
1679361306735,348.08649177341823
1679361366804,348.1156442188919
1679361426872,348.27566160682187
1679361486941,348.34616686041215
1679361547010,348.3787867773738
1679361607079,348.4540437511515
1679361667147,348.52596167831103
1679361727216,348.5788727247213
1679361787285,348.72412125260956
1679361847354,348.7586675426201
1679361907422,348.8497207753989
1679361967491,348.9450120288853
1679362027560,348.998822049385
1679362087629,349.0578974895518
1679362147697,349.11157908518163
1679362207766,349.094883852091
1679362267835,349.3039595403334
1679362327904,349.29586877352796
1679362387972,349.39514119798207
1679362448041,349.5014769902823
1679362508110,349.622838492364
1679362568179,349.62129739392486
1679362628247,349.67253891702603
1679362688316,349.67408001546517
1679362748385,349.78092950724505
1679362808454,349.9387636723863
1679362868522,350.01813024200163
1679362928577,350.0136353715542
1679362988646,350.11123827269927
1679363048715,350.2304165519922
1679363108784,350.3100399713474
1679363168852,350.39441511088995
1679363228921,350.403276426915
1679363288990,350.5634222397149
1679363349059,350.56971505834133
1679363409127,350.646769980298
1679363469196,350.744501306313
1679363529265,350.764021886542
1679363589334,350.87793474616797
1679363649402,350.9096556890401
1679363709471,350.99120548144424
1679363769540,351.0726268489784
1679363829608,351.1189882270223
1679363889677,351.18564073451483
1679363949746,351.31368032983283
1679364009807,351.32112897228865
1679364069876,351.3690314487717
1679364129945,351.51646319944876
1679364190014,351.57939138571334
1679364250082,351.5748965152659
1679364310151,351.702679260844
1679364370220,351.855633280928
1679364430289,351.84895518769173
1679364490357,351.93692622359225
1679364550426,351.9478423375361
1679364610495,352.08833914523706
1679364670564,352.1019521814494
1679364730632,352.21072804627823
1679364790701,352.3182196624077
1679364850770,352.3819183978919
1679364910839,352.37485503004586
1679364970907,352.5993417026796
1679365030976,352.4953175580381
1679365091045,352.6040934228669
1679365151114,352.73046349487583
1679365211182,352.7804207692777
1679365271251,352.8746846238047
1679365331320,352.94108028155733
1679365391389,353.0085033382694
1679365451457,353.0865856591855
1679365511526,353.1528528920682
1679365571595,353.14925699571023
1679365631664,353.3036236893634
1679365691732,353.32699701569027
1679365751801,353.4239577924858
1679365811870,353.51064457968704
1679365871939,353.5192490459722
1679365932007,353.6147971491984
1679365992076,353.71676649592104
1679366052145,353.7504138118421
1679366112214,353.7739155630389
1679366172282,353.88641574909565
1679366232351,353.92134731371596
