Time(ms),Pressure(hPa)
1678260267530000,1026.2600876755303
1678260268039000,1026.3005415095574
1678260268548000,1026.2153958207953
1678260269057000,1026.22464241143
1678260269566000,1026.3282812814618
1678260270075000,1026.2652246703274
1678260270584000,1026.3930074159052
1678260271093000,1026.319034690827
1678260271602000,1026.2966887634595
1678260272111000,1026.2590602765708
1678260272620000,1026.3085038514928
1678260273129000,1026.2543085563834
1678260273639000,1026.322502162315
1678260274148000,1026.343949115593
1678260274657000,1026.3445912399427
1678260275166000,1026.2544369812533
1678260275676000,1026.3135124214202
1678260276185000,1026.2828188775072
1678260276695000,1026.489454493221
1678260277204000,1026.3718173123673
1678260277713000,1026.3524251570082
1678260278223000,1026.3856871983196
1678260278732000,981.1246534399405
1678260279241000,938.1438032471289
1678260279750000,900.218911758503
1678260280259000,866.6779316297311
1678260280768000,836.4137120571659
1678260281278000,809.2867836320657
1678260281787000,783.9783513651428
1678260282296000,769.8056395696553
1678260282805000,774.9301771543827
1678260283315000,778.8792419046612
1678260283824000,782.2044186368306
1678260284333000,784.9737725319527
1678260284843000,787.1444096834716
1678260285352000,788.5637613459132
1678260285861000,789.6691142013815
1678260286371000,789.6958265743265
1678260286880000,756.9320737583573
1678260287389000,729.3831412106746
1678260287899000,705.0250529812168
1678260288408000,683.2463782642582
1678260288917000,664.08012225137
1678260289427000,668.6307290923901
1678260289936000,671.9205889853295
1678260290445000,649.7566396585875
1678260290955000,632.0197524479952
1678260291464000,616.021224276745
1678260291973000,601.0521498628356
1678260292483000,586.2379558420591
1678260292991000,572.0322388550004
1678260293501000,559.1263099764805
1678260294010000,546.6968373653925
1678260294519000,535.4365447701268
1678260295028000,524.5752682457266
1678260295538000,514.5319297178964
1678260296047000,505.3562296112981
1678260296556000,496.40745624986215
1678260297066000,487.8638633530482
1678260297575000,480.5519933837115
1678260298085000,475.335375167246
1678260298595000,467.1782127040447
1678260299104000,457.3553796778804
1678260299613000,448.1393541621248
1678260300123000,440.86241575740837
1678260300632000,434.415487287035
1678260301141000,427.67523641374663
1678260301650000,421.7538225111176
1678260302160000,416.74075771348765
1678260302669000,411.8459722210612
1678260303177000,407.329269545702
1678260303686000,403.3132954381911
1678260304196000,399.7045565932212
1678260304705000,396.42265904221733
1678260305215000,393.44923802878003
1678260305724000,390.64058612346
1678260306233000,388.05924623791213
1678260306742000,385.83839496225136
1678260307251000,383.90945341593647
1678260307761000,382.1014880970935
1678260308269000,380.4468620729443
1678260308779000,378.785429530689
1678260309288000,377.47446845846645
1678260309798000,376.1392350858276
1678260310307000,374.774977692585
1678260310816000,373.7620907434648
1678260311326000,372.6875598567793
1678260311835000,371.72681340484974
1678260312344000,370.8691921234722
1678260312854000,370.14423373272996
1678260313363000,369.25129561212225
1678260313872000,368.58027566674974
1678260314382000,368.0541189746557
1678260314891000,367.36075310191575
1678260315400000,366.8929013007689
1678260315910000,366.38986108526194
1678260316419000,365.8561273258422
1678260316928000,365.44516774207335
1678260317438000,365.1196106968065
1678260317947000,364.6842503877514
1678260318456000,364.3603628657936
1678260318966000,364.123290555907
1678260319475000,363.75676597713317
