Time(ms),Pressure(hPa)
1678134316479000,1015.7581439371879
1678134376547000,1015.8164488281351
1678134436616000,1015.9470569208515
1678134496684000,1015.8594711595608
1678134556753000,1015.7749675951484
1678134616821000,1015.8694882994151
1678134676890000,1015.8831013356275
1678134736958000,588.9531144420718
1678134797027000,409.27927277068505
1678134857095000,353.62879546002057
1678134917163000,326.26543684938343
1678134977232000,314.45124779011934
1678135037300000,309.584587344207
1678135097369000,308.5157071517983
1678135157437000,309.5910085877034
1678135217506000,310.45017096752014
1678135277565000,311.27542918167586
1678135337633000,311.79439408105395
1678135397702000,387.3106576711032
1678135457771000,455.0484837393681
1678135517840000,519.0130587042856
1678135577908000,568.6793223509266
1678135637977000,1015.4925613061773
1678135698046000,1015.4919191818276
1678135758115000,1015.4088282909844
1678135818183000,1015.347055928549
1678135878252000,1015.4057460941061
1678135938321000,1015.5323730158549
1678135998390000,1015.4567307674674
1678136058458000,1015.4250098245952
1678136118527000,1015.4885801352094
1678136178596000,1015.3728693274046
1678136238665000,636.7445034126373
1678136298733000,422.4656815651272
1678136358802000,357.6505486866781
1678136418871000,326.50148176031064
1678136478940000,313.1162712672203
1678136539008000,308.5493544677194
1678136599077000,309.63133399686075
1678136659146000,310.5223457444195
1678136719215000,311.1390419698126
1678136779283000,311.6252585273591
1678136839352000,312.05034484681994
1678136899421000,312.50150141487615
1678136959490000,312.843111568884
1678137019558000,313.1553124276784
1678137079627000,313.3849360951092
1678137139696000,326.1096574821611
1678137199765000,326.2192038962094
1678137259833000,326.38589937737567
1678137319902000,326.52087391566977
1678137379971000,326.7538366297187
1678137440040000,326.92721020412114
1678137500108000,327.0213456337782
1678137560177000,327.2080753946532
1678137620225000,327.3877417876821
1678137680293000,327.4718600774848
1678137740362000,327.6063209162991
1678137800431000,327.8197630501191
1678137860500000,327.9609019821697
1678137920568000,328.02331646895453
1678137980637000,328.1679228724932
1678138040706000,328.2344469551158
1678138100775000,328.3778975348251
1678138160843000,328.55204165844714
1678138220912000,328.56937901588736
1678138280981000,328.7301669530369
1678138341050000,328.81171674544106
1678138401118000,328.9129155429441
1678138461187000,329.0753730034027
1678138521256000,329.0900134385745
1678138581325000,329.14343818446446
1678138641393000,329.2893288367024
1678138701405000,329.34827585199923
1678138761473000,329.45217157177075
1678138821507000,329.51368708446614
1678138881575000,329.61899547780695
1678138941605000,329.6640726071516
1678139001673000,329.7829940367047
1678139061742000,329.86325958040953
1678139121811000,329.90730931079474
1678139181880000,329.91668432629945
1678139241948000,330.03136773514495
1678139302017000,330.137960377185
1678139362086000,330.3027294853023
