Time(ms),Pressure(hPa)
1678152871271000,1013.5356231382182
1678152931339000,1013.5731232002371
1678152991408000,1013.5971386509135
1678153051444000,707.5093036650995
1678153111513000,445.6357113228832
1678153171581000,364.31066244113157
1678153231650000,329.1799108475239
1678153291718000,313.61147756566174
1678153351764000,307.1210130643829
1678153411833000,305.3845803980897
1678153471901000,306.5450275227569
1678153531970000,307.575893953667
1678153592004000,308.35479078977886
1678153652073000,309.0679340924877
1678153712141000,309.6345446186089
1678153772210000,310.128595093221
1678153832244000,310.6133989771983
1678153892313000,311.03180720342294
1678153952331000,311.4165681137265
1678154012400000,311.7567655941651
1678154072469000,312.0934956031157
1678154132538000,312.41558517689447
1678154192606000,312.7691388438056
1678154252675000,313.00762382726145
1678154312724000,313.14555213756387
1678154372793000,313.4441399601459
1678154432862000,313.71344691238437
1678154492931000,313.81220563735883
1678154552964000,314.02089605099144
1678154613033000,314.3174290756546
1678154673102000,314.4149035519298
1678154733171000,314.6426008463117
1678154793204000,314.71220712581254
1678154853273000,315.008226450996
1678154913342000,315.168243838926
1678154973411000,315.33789309210056
1678155033444000,315.4699138583863
1678155093513000,315.7022344480856
1678155153582000,315.76182358773207
1678155213651000,315.9399488823219
1678155273684000,316.1373379074009
1678155333753000,316.2928604248834
1678155393822000,316.4040763622408
1678155453891000,316.5791194599523
1678155513924000,316.665035697934
1678155573993000,316.7914057699429
1678155634062000,316.94564403872613
1678155694131000,317.0966716857612
1678155754164000,317.20352117754106
1678155814233000,317.27890657618866
1678155874302000,317.46987435777123
1678155934371000,317.5710731552743
1678155994404000,317.82638179669067
1678156054473000,317.8398664080331
1678156114542000,318.00322284258124
1678156174611000,318.1033942411249
1678156234644000,318.2048498883678
1678156294713000,318.30142539055345
1678156354782000,318.5203897937803
1678156414851000,318.63533005236565
1678156474884000,318.6467598657892
1678156534953000,318.7976590879543
1678156595022000,318.92672608223177
1678156655091000,318.98952584362644
1678156715124000,319.1453052108488
1678156775164000,319.2679509616298
1678156835233000,319.43130739617794
1678156895302000,319.4658536861885
1678156955364000,319.6057083695398
1678157015433000,319.7418387316632
1678157075502000,319.8929948035682
1678157135571000,319.91957875164326
1678157195604000,320.0435087511235
1678157255673000,320.1060516627783
1678157315742000,320.14933084394397
1678157375811000,320.3671394233415
1678157435844000,320.3640572264632
1678157495913000,320.5608041271925
1678157555982000,320.6634155982648
1678157616051000,320.80648090336433
1678157676084000,320.8699227891086
1678157736153000,321.05035973135716
1678157796222000,321.07501730638324
1678157856291000,321.1019865290681
1678157916324000,321.2857625179347
1678157976371000,321.43088262095307
1678158036440000,321.50588274499086
1678158096509000,321.56200441314934
1678158156564000,321.736790661121
1678158216633000,321.8040852929631
1678158276702000,321.85429941710487
1678158336771000,322.0251044941088
1678158396804000,322.122578970384
1678158456873000,322.19179997527505
1678158516942000,322.275404565598
1678158577011000,322.38161193302824
1678158637044000,322.54047349712886
1678158697113000,322.657596978503
1678158757182000,322.74621013875316
1678158817251000,322.79347049088653
1678158877284000,322.9574690497843
1678158937353000,322.9958680858927
1678158997422000,323.0474948836037
1678159057491000,323.22985819890107
1678159117524000,323.2848240432302
1678159177593000,323.35571457143027
1678159237662000,323.4465109544692
1678159297731000,323.5959975030651
1678159357764000,323.65622876706124
1678159417833000,323.8100817612347
1678159477902000,324.0009211179473
1678159537935000,324.0670599259601
1678159598003000,324.056657511496
1678159658072000,324.2207844952636
1678159718141000,324.3194147953682
1678159778210000,324.4116238519763
1678159838244000,324.53645282554606
